city,comparison_type,rep_a,rep_b,level,n_only_a,n_only_b,n_both,n_union,overlap_pct
barcelona,b1_b1,1,3,section:reach,0,0,10,10,100.0
barcelona,b1_b1,1,3,section:digital,0,0,3,3,100.0
barcelona,b1_b1,1,3,section:notable,0,0,10,10,100.0
barcelona,b1_b1,2,3,whole_report,0,0,65,65,100.0
barcelona,b1_b1,2,3,section:geographic,0,0,13,13,100.0
barcelona,b1_b1,2,3,section:types,0,0,16,16,100.0
barcelona,b1_b1,2,3,section:operational,0,0,13,13,100.0
barcelona,b1_b1,2,3,section:reach,0,0,10,10,100.0
barcelona,b1_b1,2,3,section:digital,0,0,3,3,100.0
barcelona,b1_b1,2,3,section:notable,0,0,10,10,100.0
barcelona,full_b1,1,1,whole_report,7,11,57,75,76.0
barcelona,full_b1,1,1,section:geographic,2,4,10,16,62.5
barcelona,full_b1,1,1,section:types,4,2,17,23,73.9
barcelona,full_b1,1,1,section:operational,0,0,12,12,100.0
barcelona,full_b1,1,1,section:reach,0,2,8,10,80.0
barcelona,full_b1,1,1,section:digital,0,0,3,3,100.0
barcelona,full_b1,1,1,section:notable,1,3,7,11,63.6
barcelona,full_b1,1,2,whole_report,15,16,49,80,61.2
barcelona,full_b1,1,2,section:geographic,4,5,8,17,47.1
barcelona,full_b1,1,2,section:types,7,2,14,23,60.9
barcelona,full_b1,1,2,section:operational,3,4,9,16,56.2
barcelona,full_b1,1,2,section:reach,0,2,8,10,80.0
barcelona,full_b1,1,2,section:digital,0,0,3,3,100.0
barcelona,full_b1,1,2,section:notable,1,3,7,11,63.6
barcelona,full_b1,1,3,whole_report,15,16,49,80,61.2
barcelona,full_b1,1,3,section:geographic,4,5,8,17,47.1
barcelona,full_b1,1,3,section:types,7,2,14,23,60.9
barcelona,full_b1,1,3,section:operational,3,4,9,16,56.2
barcelona,full_b1,1,3,section:reach,0,2,8,10,80.0
barcelona,full_b1,1,3,section:digital,0,0,3,3,100.0
barcelona,full_b1,1,3,section:notable,1,3,7,11,63.6
barcelona,full_b1,2,1,whole_report,21,11,57,89,64.0
barcelona,full_b1,2,1,section:geographic,1,3,11,15,73.3
barcelona,full_b1,2,1,section:types,8,3,16,27,59.3
barcelona,full_b1,2,1,section:operational,11,0,12,23,52.2
barcelona,full_b1,2,1,section:reach,0,2,8,10,80.0
barcelona,full_b1,2,1,section:digital,0,0,3,3,100.0
barcelona,full_b1,2,1,section:notable,1,3,7,11,63.6
barcelona,full_b1,2,2,whole_report,24,11,54,89,60.7
barcelona,full_b1,2,2,section:geographic,1,2,11,14,78.6
barcelona,full_b1,2,2,section:types,9,1,15,25,60.0
barcelona,full_b1,2,2,section:operational,13,3,10,26,38.5
barcelona,full_b1,2,2,section:reach,0,2,8,10,80.0
barcelona,full_b1,2,2,section:digital,0,0,3,3,100.0
barcelona,full_b1,2,2,section:notable,1,3,7,11,63.6
barcelona,full_b1,2,3,whole_report,24,11,54,89,60.7
barcelona,full_b1,2,3,section:geographic,1,2,11,14,78.6
barcelona,full_b1,2,3,section:types,9,1,15,25,60.0
barcelona,full_b1,2,3,section:operational,13,3,10,26,38.5
barcelona,full_b1,2,3,section:reach,0,2,8,10,80.0
barcelona,full_b1,2,3,section:digital,0,0,3,3,100.0
barcelona,full_b1,2,3,section:notable,1,3,7,11,63.6
barcelona,full_b1,3,1,whole_report,21,11,57,89,64.0
barcelona,full_b1,3,1,section:geographic,1,3,11,15,73.3
barcelona,full_b1,3,1,section:types,8,3,16,27,59.3
barcelona,full_b1,3,1,section:operational,11,0,12,23,52.2
barcelona,full_b1,3,1,section:reach,0,2,8,10,80.0
barcelona,full_b1,3,1,section:digital,0,0,3,3,100.0
barcelona,full_b1,3,1,section:notable,1,3,7,11,63.6
barcelona,full_b1,3,2,whole_report,24,11,54,89,60.7
barcelona,full_b1,3,2,section:geographic,1,2,11,14,78.6
barcelona,full_b1,3,2,section:types,9,1,15,25,60.0
barcelona,full_b1,3,2,section:operational,13,3,10,26,38.5
barcelona,full_b1,3,2,section:reach,0,2,8,10,80.0
barcelona,full_b1,3,2,section:digital,0,0,3,3,100.0
barcelona,full_b1,3,2,section:notable,1,3,7,11,63.6
barcelona,full_b1,3,3,whole_report,24,11,54,89,60.7
barcelona,full_b1,3,3,section:geographic,1,2,11,14,78.6
barcelona,full_b1,3,3,section:types,9,1,15,25,60.0
barcelona,full_b1,3,3,section:operational,13,3,10,26,38.5
barcelona,full_b1,3,3,section:reach,0,2,8,10,80.0
barcelona,full_b1,3,3,section:digital,0,0,3,3,100.0
barcelona,full_b1,3,3,section:notable,1,3,7,11,63.6
brighton,full_full,1,2,whole_report,6,2,54,62,87.1
brighton,full_full,1,2,section:geographic,2,1,5,8,62.5
brighton,full_full,1,2,section:types,0,1,11,12,91.7
brighton,full_full,1,2,section:operational,4,0,11,15,73.3
brighton,full_full,1,2,section:reach,0,0,15,15,100.0
brighton,full_full,1,2,section:digital,0,0,4,4,100.0
brighton,full_full,1,2,section:notable,0,0,8,8,100.0
brighton,full_full,1,3,whole_report,6,2,54,62,87.1
brighton,full_full,1,3,section:geographic,2,1,5,8,62.5
brighton,full_full,1,3,section:types,0,1,11,12,91.7
brighton,full_full,1,3,section:operational,4,0,11,15,73.3
brighton,full_full,1,3,section:reach,0,0,15,15,100.0
brighton,full_full,1,3,section:digital,0,0,4,4,100.0
brighton,full_full,1,3,section:notable,0,0,8,8,100.0
brighton,full_full,2,3,whole_report,0,0,56,56,100.0
brighton,full_full,2,3,section:geographic,0,0,6,6,100.0
brighton,full_full,2,3,section:types,0,0,12,12,100.0
brighton,full_full,2,3,section:operational,0,0,11,11,100.0
brighton,full_full,2,3,section:reach,0,0,15,15,100.0
brighton,full_full,2,3,section:digital,0,0,4,4,100.0
brighton,full_full,2,3,section:notable,0,0,8,8,100.0
brighton,b1_b1,1,2,whole_report,8,2,53,63,84.1
brighton,b1_b1,1,2,section:geographic,0,1,4,5,80.0
brighton,b1_b1,1,2,section:types,5,1,12,18,66.7
brighton,b1_b1,1,2,section:operational,3,0,16,19,84.2
brighton,b1_b1,1,2,section:reach,0,0,10,10,100.0
brighton,b1_b1,1,2,section:digital,0,0,4,4,100.0
brighton,b1_b1,1,2,section:notable,0,0,7,7,100.0
brighton,b1_b1,1,3,whole_report,8,2,53,63,84.1
brighton,b1_b1,1,3,section:geographic,0,1,4,5,80.0
brighton,b1_b1,1,3,section:types,5,1,12,18,66.7
brighton,b1_b1,1,3,section:operational,3,0,16,19,84.2
brighton,b1_b1,1,3,section:reach,0,0,10,10,100.0
brighton,b1_b1,1,3,section:digital,0,0,4,4,100.0
brighton,b1_b1,1,3,section:notable,0,0,7,7,100.0
