city,comparison_type,rep_a,rep_b,level,char_similarity
milan,full_full,1,3,section:operational,0.2347
milan,full_full,1,3,section:reach,1.0
milan,full_full,1,3,section:digital,1.0
milan,full_full,1,3,section:notable,1.0
milan,full_full,2,3,whole_report,1.0
milan,full_full,2,3,section:geographic,1.0
milan,full_full,2,3,section:types,1.0
milan,full_full,2,3,section:operational,1.0
milan,full_full,2,3,section:reach,1.0
milan,full_full,2,3,section:digital,1.0
milan,full_full,2,3,section:notable,1.0
milan,b1_b1,1,2,whole_report,0.0773
milan,b1_b1,1,2,section:geographic,0.3021
milan,b1_b1,1,2,section:types,0.1239
milan,b1_b1,1,2,section:operational,0.0777
milan,b1_b1,1,2,section:reach,1.0
milan,b1_b1,1,2,section:digital,1.0
milan,b1_b1,1,2,section:notable,1.0
milan,b1_b1,1,3,whole_report,0.0773
milan,b1_b1,1,3,section:geographic,0.3021
milan,b1_b1,1,3,section:types,0.1239
milan,b1_b1,1,3,section:operational,0.0777
milan,b1_b1,1,3,section:reach,1.0
milan,b1_b1,1,3,section:digital,1.0
milan,b1_b1,1,3,section:notable,1.0
milan,b1_b1,2,3,whole_report,1.0
milan,b1_b1,2,3,section:geographic,1.0
milan,b1_b1,2,3,section:types,1.0
milan,b1_b1,2,3,section:operational,1.0
milan,b1_b1,2,3,section:reach,1.0
milan,b1_b1,2,3,section:digital,1.0
milan,b1_b1,2,3,section:notable,1.0
milan,full_b1,1,1,whole_report,0.3197
milan,full_b1,1,1,section:geographic,0.1958
milan,full_b1,1,1,section:types,0.2717
milan,full_b1,1,1,section:operational,0.2003
milan,full_b1,1,1,section:reach,0.1618
milan,full_b1,1,1,section:digital,1.0
milan,full_b1,1,1,section:notable,0.2347
milan,full_b1,1,2,whole_report,0.0736
milan,full_b1,1,2,section:geographic,0.2408
milan,full_b1,1,2,section:types,0.1033
milan,full_b1,1,2,section:operational,0.1294
milan,full_b1,1,2,section:reach,0.1618
milan,full_b1,1,2,section:digital,1.0
milan,full_b1,1,2,section:notable,0.2347
milan,full_b1,1,3,whole_report,0.0736
milan,full_b1,1,3,section:geographic,0.2408
milan,full_b1,1,3,section:types,0.1033
milan,full_b1,1,3,section:operational,0.1294
milan,full_b1,1,3,section:reach,0.1618
milan,full_b1,1,3,section:digital,1.0
milan,full_b1,1,3,section:notable,0.2347
milan,full_b1,2,1,whole_report,0.3146
milan,full_b1,2,1,section:geographic,0.3172
milan,full_b1,2,1,section:types,0.2075
milan,full_b1,2,1,section:operational,0.1604
milan,full_b1,2,1,section:reach,0.1618
milan,full_b1,2,1,section:digital,1.0
milan,full_b1,2,1,section:notable,0.2347
milan,full_b1,2,2,whole_report,0.0671
milan,full_b1,2,2,section:geographic,0.1903
milan,full_b1,2,2,section:types,0.1341
milan,full_b1,2,2,section:operational,0.1159
milan,full_b1,2,2,section:reach,0.1618
milan,full_b1,2,2,section:digital,1.0
milan,full_b1,2,2,section:notable,0.2347
milan,full_b1,2,3,whole_report,0.0671
milan,full_b1,2,3,section:geographic,0.1903
milan,full_b1,2,3,section:types,0.1341
milan,full_b1,2,3,section:operational,0.1159
milan,full_b1,2,3,section:reach,0.1618
milan,full_b1,2,3,section:digital,1.0
milan,full_b1,2,3,section:notable,0.2347
milan,full_b1,3,1,whole_report,0.3146
milan,full_b1,3,1,section:geographic,0.3172
milan,full_b1,3,1,section:types,0.2075
milan,full_b1,3,1,section:operational,0.1604
milan,full_b1,3,1,section:reach,0.1618
milan,full_b1,3,1,section:digital,1.0
milan,full_b1,3,1,section:notable,0.2347
milan,full_b1,3,2,whole_report,0.0671
milan,full_b1,3,2,section:geographic,0.1903
milan,full_b1,3,2,section:types,0.1341
milan,full_b1,3,2,section:operational,0.1159
milan,full_b1,3,2,section:reach,0.1618
milan,full_b1,3,2,section:digital,1.0
milan,full_b1,3,2,section:notable,0.2347
milan,full_b1,3,3,whole_report,0.0671
milan,full_b1,3,3,section:geographic,0.1903
milan,full_b1,3,3,section:types,0.1341
milan,full_b1,3,3,section:operational,0.1159
milan,full_b1,3,3,section:reach,0.1618
milan,full_b1,3,3,section:digital,1.0
milan,full_b1,3,3,section:notable,0.2347
